Wydział,Prowadzący,Nazwa przedmiotu,Typ zajęć,Kierunek
Jednostki Międzywydziałowe,mgr Urszula Broda,Język obcy (drugi) II,lek,ZiIP
Jednostki Międzywydziałowe,mgr Urszula Broda,Lektorat języka obcego (jęz. niemiecki / włoski),lek,Fil hisz
Jednostki Międzywydziałowe,mgr Urszula Broda,Lektorat języka obcego (jęz. niemiecki / włoski),lek,Fil ang
Jednostki Międzywydziałowe,dr Beata Bury,Język obcy II,lek,Tur
Jednostki Międzywydziałowe,dr Beata Bury,Język angielski I,lek,Trans
Jednostki Międzywydziałowe,dr Beata Bury,Język angielski,lek,Piel
Jednostki Międzywydziałowe,dr Beata Bury,Język angielski II,lek,Inf
Jednostki Międzywydziałowe,dr Beata Bury,Lektorat języka obcego (jęz. niemiecki / włoski),lek,Fil hisz
Jednostki Międzywydziałowe,dr Beata Bury,Język obcy,lek,Kom int
Jednostki Międzywydziałowe,dr Beata Bury,Język obcy,lek,Ped sp
Jednostki Międzywydziałowe,dr Beata Bury,Język obcy 2,lek,Bud
Jednostki Międzywydziałowe,dr Beata Bury,Język obcy,lek,Inż śr
Jednostki Międzywydziałowe,mgr Aleksandra Byrska-Cebrat,Język obcy II,lek,Tur
Jednostki Międzywydziałowe,mgr Aleksandra Byrska-Cebrat,Język obcy,lek,PPiW
Jednostki Międzywydziałowe,mgr Aleksandra Byrska-Cebrat,Język obcy 1,lek,Bud
Jednostki Międzywydziałowe,mgr Aleksandra Byrska-Cebrat,Język obcy 4,lek,Bud
Jednostki Międzywydziałowe,mgr Aleksandra Byrska-Cebrat,Język obcy 3,lek,Bud
Jednostki Międzywydziałowe,mgr Aleksandra Byrska-Cebrat,Język obcy,lek,Inż śr
Jednostki Międzywydziałowe,mgr Jerzy Ciudziński,Język obcy II,lek,AiR
Jednostki Międzywydziałowe,mgr Jerzy Ciudziński,Język obcy IV,lek,MiBM
Jednostki Międzywydziałowe,mgr Jerzy Ciudziński,Język obcy II,lek,MiBM
Jednostki Międzywydziałowe,mgr Jerzy Ciudziński,Język obcy IV,lek,EP
Jednostki Międzywydziałowe,mgr Jerzy Ciudziński,Język angielski,lek,Piel
Jednostki Międzywydziałowe,mgr Jerzy Ciudziński,Język angielski,lek,Rat
Jednostki Międzywydziałowe,mgr Jerzy Ciudziński,Język obcy 3,lek,Bud
Jednostki Międzywydziałowe,mgr Jerzy Ciudziński,Język obcy,lek,Inż śr
Jednostki Międzywydziałowe,mgr Sabina Galas-Jędruch,Język obcy II,lek,Zarz
Jednostki Międzywydziałowe,mgr Sabina Galas-Jędruch,Język obcy II,lek,AiR
Jednostki Międzywydziałowe,mgr Sabina Galas-Jędruch,Język obcy IV,lek,MiBM
Jednostki Międzywydziałowe,mgr Sabina Galas-Jędruch,Lektorat języka obcego (jęz. niemiecki / włoski),lek,Fil ang
Jednostki Międzywydziałowe,mgr Agnieszka Gawlik,Język łaciński z elem. kultury antycznej,lek,Fil pol
Jednostki Międzywydziałowe,mgr Beata Góralczyk-Rajewska,Język angielski I,lek,Trans
Jednostki Międzywydziałowe,mgr Beata Góralczyk-Rajewska,Język angielski / Język angielski III,lek,Trans
Jednostki Międzywydziałowe,mgr Beata Góralczyk-Rajewska,Język angielski IV,lek,Inf
Jednostki Międzywydziałowe,mgr Beata Góralczyk-Rajewska,Język angielski II,lek,Inf
Jednostki Międzywydziałowe,mgr Beata Góralczyk-Rajewska,Język obcy / Język obcy 3,lek,Ochr śr
Jednostki Międzywydziałowe,mgr Beata Góralczyk-Rajewska,Język obcy,lek,Fil pol
Jednostki Międzywydziałowe,mgr Ewa Górny,Język obcy IV,lek,MiBM
Jednostki Międzywydziałowe,mgr Ewa Górny,Język obcy II,lek,MiBM
Jednostki Międzywydziałowe,mgr Ewa Górny,Język obcy II,lek,EP
Jednostki Międzywydziałowe,mgr Ewa Górny,Język obcy,lek,PPiW
Jednostki Międzywydziałowe,mgr Ewa Górny,Język obcy,lek,Inż śr
Jednostki Międzywydziałowe,mgr Agnieszka Gradowska,Język angielski / Język angielski ekonomiczny,lek,Zarz
Jednostki Międzywydziałowe,mgr Agnieszka Gradowska,Język angielski / Język angielski III,lek,Trans
Jednostki Międzywydziałowe,mgr Agnieszka Gradowska,Język obcy 1,lek,Bud
Jednostki Międzywydziałowe,mgr Agnieszka Gradowska,Język obcy 2,lek,Bud
