Wydział,Prowadzący,Nazwa przedmiotu,Typ zajęć,Kierunek,Studia
Wydział Budowy Maszyn i Informatyki,dr Marcin Bernaś,Interfejs w aplikacjach internetowych,wyk,Inf,S
Wydział Budowy Maszyn i Informatyki,dr Marcin Bernaś,Zaawansowana grafika i gry komputerowe,lab,Inf,S
Wydział Budowy Maszyn i Informatyki,dr Marcin Bernaś,Zaawansowana grafika i gry komputerowe,wyk,Inf,S
Wydział Budowy Maszyn i Informatyki,dr Marcin Bernaś,Inteligentne przetwarzanie multimediów,wyk,Inf,NZ
Wydział Budowy Maszyn i Informatyki,dr Marcin Bernaś,Inteligentny transport i pojazdy autonomiczne,wyk,Inf,NZ
Wydział Budowy Maszyn i Informatyki,dr Marcin Bernaś,Interfejs w aplikacjach internetowych,lab,Inf,NZ
Wydział Budowy Maszyn i Informatyki,dr inż. Paweł Fałat,Programowanie II,lab,Inf,S
Wydział Budowy Maszyn i Informatyki,dr inż. Paweł Fałat,Programowanie dla Internetu w technologii ASP.NET,lab,Inf,S
Wydział Budowy Maszyn i Informatyki,dr inż. Paweł Fałat,Programowanie IV,lab,Inf,S
Wydział Budowy Maszyn i Informatyki,dr inż. Paweł Fałat,Programowanie II,wyk,Inf,S
Wydział Budowy Maszyn i Informatyki,dr inż. Paweł Fałat,Nierelacyjne bazy danych,wyk,Inf,S
Wydział Budowy Maszyn i Informatyki,dr inż. Paweł Fałat,Programowanie dla Internetu w technologii ASP.NET,wyk,Inf,S
Wydział Budowy Maszyn i Informatyki,dr inż. Tomasz Gancarczyk,Bezpieczeństwo systemów serwerowych,lab,Inf,S
Wydział Budowy Maszyn i Informatyki,dr inż. Tomasz Gancarczyk,Systemy operacyjne I,wyk,Inf,S
Wydział Budowy Maszyn i Informatyki,dr inż. Tomasz Gancarczyk,Systemy operacyjne I,lab,Inf,S
Wydział Budowy Maszyn i Informatyki,dr inż. Tomasz Gancarczyk,Systemy operacyjne I,lab,Inf,NZ
Wydział Budowy Maszyn i Informatyki,dr inż. Tomasz Gancarczyk,Systemy operacyjne I,wyk,Inf,NZ
Wydział Budowy Maszyn i Informatyki,mgr inż. Patryk Giertuga,Projektowanie rozwiązań internetowych,lab,Inf,S
Wydział Budowy Maszyn i Informatyki,mgr inż. Patryk Giertuga,Metody sztucznej inteligencji,lab,Inf,S
Wydział Budowy Maszyn i Informatyki,mgr inż. Patryk Giertuga,Interfejs w aplikacjach internetowych,lab,Inf,S
Wydział Budowy Maszyn i Informatyki,mgr inż. Patryk Giertuga,Metody sztucznej inteligencji,lab,Inf,NZ
Wydział Budowy Maszyn i Informatyki,mgr inż. Maksymilian Grygiel,Techniki testowania aplikacji,lab,Inf,S
Wydział Budowy Maszyn i Informatyki,mgr inż. Maksymilian Grygiel,Projekt - zespołowe przedsięwzięcie programistyczne,proj,Inf,S
Wydział Budowy Maszyn i Informatyki,mgr inż. Maksymilian Grygiel,Projekt - zespołowe przedsięwzięcie programistyczne,proj,Inf,NZ
Wydział Budowy Maszyn i Informatyki,mgr inż. Mikołaj Grygiel,Projektowanie rozwiązań internetowych,lab,Inf,S
Wydział Budowy Maszyn i Informatyki,mgr inż. Mikołaj Grygiel,Programowanie II,lab,Inf,S
Wydział Budowy Maszyn i Informatyki,mgr inż. Mikołaj Grygiel,Grafika komputerowa,lab,Inf,S
Wydział Budowy Maszyn i Informatyki,mgr inż. Mikołaj Grygiel,Grafika komputerowa,lab,Inf,NZ
Wydział Budowy Maszyn i Informatyki,mgr inż. Łukasz Hamera,Projekt - zespołowe przedsięwzięcie programistyczne,proj,Inf,S
Wydział Budowy Maszyn i Informatyki,dr inż. Daniel Jancarczyk,Podstawy napędu elektrycznego,lab,AiR,S
Wydział Budowy Maszyn i Informatyki,dr inż. Daniel Jancarczyk,Elektrotechnika i elektronika w zastosowaniach przemysłowych,lab,MiBM,NW
Wydział Budowy Maszyn i Informatyki,dr inż. Daniel Jancarczyk,Programowanie mikrokontrolerów,wyk,Inf,S
Wydział Budowy Maszyn i Informatyki,dr inż. Daniel Jancarczyk,Programowanie mikrokontrolerów,lab,Inf,S
Wydział Budowy Maszyn i Informatyki,dr inż. Daniel Jancarczyk,Przetworniki pomiarowe w układach mechatronicznych,proj,Mt,S
Wydział Budowy Maszyn i Informatyki,dr inż. Daniel Jancarczyk,Programowanie mikrokontrolerów,wyk,Inf,NZ
Wydział Budowy Maszyn i Informatyki,dr inż. Daniel Jancarczyk,Sterowanie elektrycznymi układami napędowymi,lab,Mt,S
Wydział Budowy Maszyn i Informatyki,dr inż. Daniel Jancarczyk,Podstawy elektrotechniki i elektroniki,lab,EP,NW
Wydział Budowy Maszyn i Informatyki,dr inż. Krzysztof Kajstura,Technika cyfrowa i mikroprocesorowa,wyk,AiR,S
Wydział Budowy Maszyn i Informatyki,dr inż. Krzysztof Kajstura,Technika cyfrowa i mikroprocesorowa,lab,AiR,S
Wydział Budowy Maszyn i Informatyki,prof. UBB dr hab. inż. Mirosław Kordos,Zaawansowane techniki programowania,lab,Inf,S
Wydział Budowy Maszyn i Informatyki,prof. UBB dr hab. inż. Mirosław Kordos,Zaawansowane techniki programowania,wyk,Inf,S
Wydział Budowy Maszyn i Informatyki,prof. UBB dr hab. inż. Mirosław Kordos,Metody sztucznej inteligencji,wyk,Inf,S
Wydział Budowy Maszyn i Informatyki,prof. UBB dr hab. inż. Mirosław Kordos,Metody sztucznej inteligencji,lab,Inf,S
Wydział Budowy Maszyn i Informatyki,prof. UBB dr hab. inż. Mirosław Kordos,Metody sztucznej inteligencji,lab,Inf,NZ
Wydział Budowy Maszyn i Informatyki,prof. UBB dr hab. inż. Mirosław Kordos,Metody sztucznej inteligencji,wyk,Inf,NZ
Wydział Budowy Maszyn i Informatyki,dr Aleksandra Kłos-Witkowska,Fizyka,wyk,Inf,S
Wydział Budowy Maszyn i Informatyki,dr Aleksandra Kłos-Witkowska,Fizyka,ćw,Inf,S
Wydział Budowy Maszyn i Informatyki,dr Aleksandra Kłos-Witkowska,Podstawy informatyki,wyk,Kom int,S
Wydział Budowy Maszyn i Informatyki,dr Aleksandra Kłos-Witkowska,Podstawy informatyki,ćw,Kom int,S
Wydział Budowy Maszyn i Informatyki,dr Aleksandra Kłos-Witkowska,Fizyka,wyk,Inf,NZ
Wydział Budowy Maszyn i Informatyki,dr Aleksandra Kłos-Witkowska,Fizyka,ćw,Inf,NZ
