Wydział,Prowadzący,Nazwa przedmiotu,Typ zajęć,Kierunek,Studia
Jednostki Międzywydziałowe,mgr Urszula Broda,Język obcy (drugi) II,lek,ZiIP,S
Jednostki Międzywydziałowe,mgr Urszula Broda,Lektorat języka obcego (jęz. niemiecki / włoski),lek,Fil hisz,S
Jednostki Międzywydziałowe,mgr Urszula Broda,Lektorat języka obcego (jęz. niemiecki / włoski),lek,Fil ang,S
Jednostki Międzywydziałowe,mgr Urszula Broda,Język obcy II,lek,Zarz,NZ
Jednostki Międzywydziałowe,mgr Urszula Broda,Język obcy (drugi) II,lek,ZiIP,NZ
Jednostki Międzywydziałowe,dr Beata Bury,Język obcy II,lek,Tur,S
Jednostki Międzywydziałowe,dr Beata Bury,Język angielski I,lek,Trans,S
Jednostki Międzywydziałowe,dr Beata Bury,Język angielski,lek,Piel,S
Jednostki Międzywydziałowe,dr Beata Bury,Język angielski II,lek,Inf,S
Jednostki Międzywydziałowe,dr Beata Bury,Lektorat języka obcego (jęz. niemiecki / włoski),lek,Fil hisz,NZ
Jednostki Międzywydziałowe,dr Beata Bury,Lektorat języka obcego (jęz. niemiecki / włoski),lek,Fil hisz,S
Jednostki Międzywydziałowe,dr Beata Bury,Język obcy,lek,Kom int,S
Jednostki Międzywydziałowe,dr Beata Bury,Język obcy,lek,Ped sp,NZ
Jednostki Międzywydziałowe,dr Beata Bury,Język obcy 2,lek,Bud,NZ
Jednostki Międzywydziałowe,dr Beata Bury,Język obcy,lek,Inż śr,NZ
Jednostki Międzywydziałowe,mgr Aleksandra Byrska-Cebrat,Język obcy II,lek,Tur,S
Jednostki Międzywydziałowe,mgr Aleksandra Byrska-Cebrat,Język obcy,lek,PPiW,S
Jednostki Międzywydziałowe,mgr Aleksandra Byrska-Cebrat,Język obcy 3,lek,Bud,S
Jednostki Międzywydziałowe,mgr Aleksandra Byrska-Cebrat,Język obcy 1,lek,Bud,NZ
Jednostki Międzywydziałowe,mgr Aleksandra Byrska-Cebrat,Język obcy 4,lek,Bud,NZ
Jednostki Międzywydziałowe,mgr Aleksandra Byrska-Cebrat,Język obcy 1,lek,Bud,S
Jednostki Międzywydziałowe,mgr Aleksandra Byrska-Cebrat,Język obcy,lek,Inż śr,S
Jednostki Międzywydziałowe,mgr Aleksandra Byrska-Cebrat,Język obcy,lek,Inż śr,NZ
Jednostki Międzywydziałowe,mgr Jerzy Ciudziński,Język obcy II,lek,AiR,S
Jednostki Międzywydziałowe,mgr Jerzy Ciudziński,Język obcy IV,lek,MiBM,NW
Jednostki Międzywydziałowe,mgr Jerzy Ciudziński,Język obcy II,lek,MiBM,NW
Jednostki Międzywydziałowe,mgr Jerzy Ciudziński,Język obcy IV,lek,MiBM,S
Jednostki Międzywydziałowe,mgr Jerzy Ciudziński,Język obcy IV,lek,EP,NW
Jednostki Międzywydziałowe,mgr Jerzy Ciudziński,Język angielski,lek,Piel,S
Jednostki Międzywydziałowe,mgr Jerzy Ciudziński,Język angielski,lek,Rat,S
Jednostki Międzywydziałowe,mgr Jerzy Ciudziński,Język obcy 3,lek,Bud,S
Jednostki Międzywydziałowe,mgr Jerzy Ciudziński,Język obcy,lek,Inż śr,S
Jednostki Międzywydziałowe,mgr Sabina Galas-Jędruch,Język obcy II,lek,Zarz,S
Jednostki Międzywydziałowe,mgr Sabina Galas-Jędruch,Język obcy II,lek,AiR,S
Jednostki Międzywydziałowe,mgr Sabina Galas-Jędruch,Język obcy IV,lek,MiBM,S
Jednostki Międzywydziałowe,mgr Sabina Galas-Jędruch,Lektorat języka obcego (jęz. niemiecki / włoski),lek,Fil ang,S
Jednostki Międzywydziałowe,mgr Sabina Galas-Jędruch,Język obcy II,lek,Zarz,NZ
Jednostki Międzywydziałowe,mgr Sabina Galas-Jędruch,Język obcy (drugi) II,lek,ZiIP,NZ
Jednostki Międzywydziałowe,mgr Agnieszka Gawlik,Język łaciński z elem. kultury antycznej,lek,Fil pol,S
Jednostki Międzywydziałowe,mgr Beata Góralczyk-Rajewska,Język angielski / Język angielski III,lek,Trans,S
Jednostki Międzywydziałowe,mgr Beata Góralczyk-Rajewska,Język angielski I,lek,Trans,S
Jednostki Międzywydziałowe,mgr Beata Góralczyk-Rajewska,Język angielski IV,lek,Inf,S
Jednostki Międzywydziałowe,mgr Beata Góralczyk-Rajewska,Język angielski II,lek,Inf,S
Jednostki Międzywydziałowe,mgr Beata Góralczyk-Rajewska,Język obcy / Język obcy 3,lek,Ochr śr,S
Jednostki Międzywydziałowe,mgr Beata Góralczyk-Rajewska,Język obcy,lek,Fil pol,S
Jednostki Międzywydziałowe,mgr Beata Góralczyk-Rajewska,Język angielski IV,lek,Inf,NZ
Jednostki Międzywydziałowe,mgr Beata Góralczyk-Rajewska,Język angielski II,lek,Inf,NZ
Jednostki Międzywydziałowe,mgr Beata Góralczyk-Rajewska,Język angielski IV,lek,ZiIP,NZ
Jednostki Międzywydziałowe,mgr Ewa Górny,Język obcy IV,lek,MiBM,NW
Jednostki Międzywydziałowe,mgr Ewa Górny,Język obcy II,lek,MiBM,NW
Jednostki Międzywydziałowe,mgr Ewa Górny,Język obcy II,lek,EP,NW
Jednostki Międzywydziałowe,mgr Ewa Górny,Język obcy,lek,PPiW,NZ
Jednostki Międzywydziałowe,mgr Ewa Górny,Język obcy,lek,Inż śr,S
Jednostki Międzywydziałowe,mgr Agnieszka Gradowska,Język angielski / Język angielski ekonomiczny,lek,Zarz,S
Jednostki Międzywydziałowe,mgr Agnieszka Gradowska,Język angielski / Język angielski III,lek,Trans,S
Jednostki Międzywydziałowe,mgr Agnieszka Gradowska,Język obcy 2,lek,Bud,NZ
Jednostki Międzywydziałowe,mgr Agnieszka Gradowska,Język obcy 1,lek,Bud,NZ
Jednostki Międzywydziałowe,mgr Agnieszka Gradowska,Język obcy 1,lek,Bud,S
Jednostki Międzywydziałowe,mgr Agnieszka Gradowska,Język obcy,lek,Inż śr,S
Jednostki Międzywydziałowe,mgr Agnieszka Gradowska,Język obcy,lek,Inż śr,NZ
Jednostki Międzywydziałowe,mgr Agnieszka Koczur,Język angielski / Język angielski ekonomiczny,lek,Zarz,S
Jednostki Międzywydziałowe,mgr Agnieszka Koczur,Język angielski / Język angielski III,lek,Trans,S
Jednostki Międzywydziałowe,mgr Agnieszka Koczur,Język angielski IV,lek,Inf,S
Jednostki Międzywydziałowe,mgr Agnieszka Koczur,Język obcy,lek,Ped,NZ
Jednostki Międzywydziałowe,mgr Agnieszka Koczur,Język obcy,lek,PPiW,NZ
Jednostki Międzywydziałowe,mgr Bożena Kordos,Język angielski / Język angielski ekonomiczny,lek,Zarz,S
Jednostki Międzywydziałowe,mgr Bożena Kordos,Język angielski,lek,Piel,S
Jednostki Międzywydziałowe,mgr Bożena Kordos,Język angielski,lek,Rat,S
Jednostki Międzywydziałowe,mgr Bożena Kordos,Język angielski / Język angielski ekonomiczny,lek,Zarz,NZ
Jednostki Międzywydziałowe,mgr Bożena Kordos,Język angielski,lek,Piel,NZ
Jednostki Międzywydziałowe,mgr Bożena Kordos,Język angielski,lek,Rat,NZ
Jednostki Międzywydziałowe,mgr Magdalena Kowalska,Język angielski,lek,Piel,S
Jednostki Międzywydziałowe,mgr Magdalena Kowalska,Język angielski,lek,Rat,S
Jednostki Międzywydziałowe,mgr Magdalena Kowalska,Język angielski IV,lek,Inf,S
Jednostki Międzywydziałowe,mgr Magdalena Kowalska,Lektorat języka obcego (jęz. niemiecki / włoski),lek,Fil hisz,NZ
Jednostki Międzywydziałowe,mgr Magdalena Kowalska,Język obcy,lek,Ped,NZ
Jednostki Międzywydziałowe,mgr Magdalena Kowalska,Język obcy 4,lek,Bud,NZ
Jednostki Międzywydziałowe,mgr Stanisława Markowska-Kwiatkowska,Język obcy II,lek,Zarz,S
Jednostki Międzywydziałowe,mgr Stanisława Markowska-Kwiatkowska,Lektorat języka obcego (jęz. niemiecki / włoski),lek,Fil ang,S
Jednostki Międzywydziałowe,mgr Stanisława Markowska-Kwiatkowska,Lektorat języka obcego (jęz. niemiecki / włoski),lek,Fil hisz,NZ
Jednostki Międzywydziałowe,mgr Jolanta Misik,Język angielski / Język angielski III,lek,Trans,S
Jednostki Międzywydziałowe,mgr Jolanta Misik,Język obcy,lek,Fil pol,S
Jednostki Międzywydziałowe,mgr Jolanta Misik,Język angielski IV,lek,Trans,NZ
Jednostki Międzywydziałowe,mgr Jolanta Misik,Język angielski II,lek,ZiIP,NZ
Jednostki Międzywydziałowe,mgr Marzena Morawska-Gacek,Język angielski / Język angielski ekonomiczny,lek,Zarz,S
Jednostki Międzywydziałowe,mgr Marzena Morawska-Gacek,Język obcy II,lek,AiR,S
Jednostki Międzywydziałowe,mgr Marzena Morawska-Gacek,Język obcy IV,lek,MiBM,S
Jednostki Międzywydziałowe,mgr Marzena Morawska-Gacek,Język angielski,lek,Piel,S
Jednostki Międzywydziałowe,mgr Marzena Morawska-Gacek,Język angielski,lek,Rat,S
Jednostki Międzywydziałowe,mgr Marzena Morawska-Gacek,Język angielski II,lek,Inf,S
Jednostki Międzywydziałowe,mgr Marzena Morawska-Gacek,Język obcy,lek,PPiW,S
Jednostki Międzywydziałowe,mgr Marzena Morawska-Gacek,Język angielski / Język angielski ekonomiczny,lek,Zarz,NZ
Jednostki Międzywydziałowe,mgr Marzena Morawska-Gacek,Język angielski II,lek,Trans,NZ
Jednostki Międzywydziałowe,mgr Marzena Morawska-Gacek,Język angielski,lek,Piel,NZ
Jednostki Międzywydziałowe,mgr Marzena Morawska-Gacek,Język angielski IV,lek,ZiIP,NZ
Jednostki Międzywydziałowe,mgr Marzena Morawska-Gacek,Język angielski II,lek,ZiIP,NZ
Jednostki Międzywydziałowe,mgr Marzena Pietras-Sadłek,Język obcy II,lek,Zarz,S
Jednostki Międzywydziałowe,mgr Marzena Pietras-Sadłek,Język obcy,lek,Fil pol,S
Jednostki Międzywydziałowe,mgr Marzena Pietras-Sadłek,Lektorat języka obcego (jęz. niemiecki / włoski),lek,Fil hisz,NZ
Jednostki Międzywydziałowe,mgr Marzena Pietras-Sadłek,Język obcy / Język obcy 3,lek,Ochr śr,S
Jednostki Międzywydziałowe,mgr Marzena Pietras-Sadłek,Język obcy,lek,Inż śr,S
Jednostki Międzywydziałowe,mgr Marzena Pietras-Sadłek,Lektorat języka obcego (jęz. niemiecki / włoski),lek,Fil ang,S
Jednostki Międzywydziałowe,mgr Barbara Świtka,Język angielski / Język angielski ekonomiczny,lek,Zarz,S
Jednostki Międzywydziałowe,mgr Barbara Świtka,Business communication / Translation in business (w jęz. ang.),ćw,Analit,S
Jednostki Międzywydziałowe,mgr Barbara Świtka,Język angielski,lek,Piel,S
Jednostki Międzywydziałowe,mgr Barbara Świtka,Język angielski II,lek,Inf,S
Jednostki Międzywydziałowe,mgr Barbara Świtka,Język angielski / Język angielski ekonomiczny,lek,Zarz,NZ
Jednostki Międzywydziałowe,mgr Barbara Świtka,Język angielski IV,lek,Trans,NZ
Jednostki Międzywydziałowe,mgr Barbara Świtka,Język angielski,lek,Rat,NZ
Jednostki Międzywydziałowe,mgr Ilona Szewczyk,Język angielski / Język angielski ekonomiczny,lek,Zarz,S
Jednostki Międzywydziałowe,mgr Ilona Szewczyk,Język obcy II,lek,Tur,S
Jednostki Międzywydziałowe,mgr Ilona Szewczyk,Język obcy II,lek,AiR,S
Jednostki Międzywydziałowe,mgr Ilona Szewczyk,Język obcy IV,lek,MiBM,S
Jednostki Międzywydziałowe,mgr Ilona Szewczyk,Język angielski IV,lek,Inf,S
Jednostki Międzywydziałowe,mgr Ilona Szewczyk,Język angielski II,lek,Inf,S
Jednostki Międzywydziałowe,mgr Ilona Szewczyk,Język obcy,lek,Kom int,S
Jednostki Międzywydziałowe,mgr Ilona Szewczyk,Język angielski / Język angielski ekonomiczny,lek,Zarz,NZ
Jednostki Międzywydziałowe,mgr Ilona Szewczyk,Business communication / Translation in business (w jęz. ang.),ćw,Analit,NZ
Jednostki Międzywydziałowe,mgr Ilona Szewczyk,Język angielski IV,lek,Inf,NZ
Jednostki Międzywydziałowe,mgr Ilona Szewczyk,Język angielski II,lek,Inf,NZ
Jednostki Międzywydziałowe,mgr Agnieszka Szwabowicz-Janosz,Język angielski,lek,Piel,S
Jednostki Międzywydziałowe,mgr Agnieszka Szwabowicz-Janosz,Język angielski IV,lek,Inf,S
Jednostki Międzywydziałowe,mgr Agnieszka Szwabowicz-Janosz,Lektorat języka obcego (jęz. niemiecki / włoski),lek,Fil hisz,S
Jednostki Międzywydziałowe,mgr Agnieszka Szwabowicz-Janosz,Język obcy,lek,Kom int,S
Jednostki Międzywydziałowe,mgr Agnieszka Szwabowicz-Janosz,Język angielski,lek,Piel,NZ
Jednostki Międzywydziałowe,mgr Agnieszka Szwabowicz-Janosz,Język angielski,lek,Rat,NZ
Jednostki Międzywydziałowe,mgr Agnieszka Szwabowicz-Janosz,Język angielski IV,lek,Inf,NZ
Jednostki Międzywydziałowe,mgr Agnieszka Szwabowicz-Janosz,Język angielski II,lek,Inf,NZ
Jednostki Międzywydziałowe,mgr Janusz Cyran,Wychowanie fizyczne,ćw,Analit,S
Jednostki Międzywydziałowe,mgr Janusz Cyran,Wychowanie fizyczne II,ćw,Tur,S
Jednostki Międzywydziałowe,mgr Janusz Cyran,Wychowanie fizyczne,ćw,Piel,S
Jednostki Międzywydziałowe,mgr Janusz Cyran,Wychowanie fizyczne,ćw,Rat,S
Jednostki Międzywydziałowe,mgr Janusz Cyran,Wychowanie Fizyczne,ćw,Fil ang,S
Jednostki Międzywydziałowe,mgr Janusz Cyran,Wychowanie fizyczne,ćw,Kom int,S
Jednostki Międzywydziałowe,mgr Paweł Gradowski,Wychowanie fizyczne,ćw,Zzl,S
Jednostki Międzywydziałowe,mgr Paweł Gradowski,Wychowanie fizyczne,ćw,Zarz,S
Jednostki Międzywydziałowe,mgr Paweł Gradowski,Wychowanie fizyczne II,ćw,Tur,S
Jednostki Międzywydziałowe,mgr Paweł Gradowski,Wychowanie fizyczne II,ćw,Trans,S
Jednostki Międzywydziałowe,mgr Paweł Gradowski,Wychowanie fizyczne,ćw,AiR,S
Jednostki Międzywydziałowe,mgr Paweł Gradowski,Wychowanie fizyczne,ćw,EP,S
Jednostki Międzywydziałowe,mgr Paweł Gradowski,Wychowanie fizyczne,ćw,MiBM,S
Jednostki Międzywydziałowe,mgr Paweł Gradowski,Wychowanie fizyczne,ćw,Piel,S
Jednostki Międzywydziałowe,mgr Paweł Gradowski,Wychowanie fizyczne,ćw,Inf,S
Jednostki Międzywydziałowe,mgr Paweł Gradowski,Wychowanie fizyczne,ćw,ZiIP,S
Jednostki Międzywydziałowe,mgr Paweł Gradowski,Wychowanie fizyczne 2,ćw,Bud,S
Jednostki Międzywydziałowe,mgr Paweł Gradowski,Wychowanie fizyczne,ćw,Inż śr,S
Jednostki Międzywydziałowe,mgr Paweł Gradowski,Wychowanie fizyczne,ćw,Rat,NZ
Jednostki Międzywydziałowe,dr Jolanta Kędzior,Wychowanie fizyczne,ćw,Piel,S
Jednostki Międzywydziałowe,dr Jolanta Kędzior,Wychowanie fizyczne,ćw,Rat,S
Jednostki Międzywydziałowe,dr Jolanta Kędzior,Wychowanie Fizyczne,ćw,Fil hisz,S
Jednostki Międzywydziałowe,dr Jolanta Kędzior,Wychowanie fizyczne,ćw,Fil pol,S
Jednostki Międzywydziałowe,dr Jolanta Kędzior,Wychowanie fizyczne,ćw,Kom int,S
Jednostki Międzywydziałowe,dr Jolanta Kędzior,Wychowanie fizyczne,ćw,PPiW,S
Jednostki Międzywydziałowe,mgr Piotr Targosz,Wychowanie Fizyczne,ćw,Fil ang,S
Jednostki Międzywydziałowe,mgr Piotr Targosz,Wychowanie fizyczne,ćw,Ped,S
Jednostki Międzywydziałowe,mgr Piotr Targosz,Wychowanie fizyczne,ćw,Rat,NZ
Wydział Budowy Maszyn i Informatyki,dr Mirosław Adamek,Statystyka opisowa,wyk,Zzl,S
Wydział Budowy Maszyn i Informatyki,dr Mirosław Adamek,Statystyka i probabilistyka,wyk,AiR,S
Wydział Budowy Maszyn i Informatyki,dr Mirosław Adamek,Statystyka i probabilistyka,ćw,AiR,S
Wydział Budowy Maszyn i Informatyki,dr Mirosław Adamek,Matematyka inżynierska II,wyk,MiBM,S
Wydział Budowy Maszyn i Informatyki,dr Mirosław Adamek,Metody probabilistyczne i statystyka,wyk,Inf,S
Wydział Budowy Maszyn i Informatyki,dr Mirosław Adamek,Analiza matematyczna II,ćw,Inf,S
Wydział Budowy Maszyn i Informatyki,dr Mirosław Adamek,Metody probabilistyczne i statystyka,ćw,Inf,S
Wydział Budowy Maszyn i Informatyki,dr Mirosław Adamek,Matematyka II,ćw,ZiIP,S
Wydział Budowy Maszyn i Informatyki,dr Mirosław Adamek,Matematyka II,wyk,ZiIP,S
Wydział Budowy Maszyn i Informatyki,dr Dawid Kotrys,Matematyka II,ćw,Trans,S
Wydział Budowy Maszyn i Informatyki,dr Dawid Kotrys,Matematyka II,wyk,Trans,S
Wydział Budowy Maszyn i Informatyki,dr Dawid Kotrys,Analiza matematyczna II,wyk,Inf,S
Wydział Budowy Maszyn i Informatyki,dr Dawid Kotrys,Analiza matematyczna II,ćw,Inf,S
Wydział Budowy Maszyn i Informatyki,dr Dawid Kotrys,Matematyka II,ćw,Trans,NZ
Wydział Budowy Maszyn i Informatyki,dr Dawid Kotrys,Matematyka II,wyk,Trans,NZ
Wydział Budowy Maszyn i Informatyki,dr Bartosz Micherda,Analiza matematyczna II,ćw,AiR,S
Wydział Budowy Maszyn i Informatyki,dr Bartosz Micherda,Analiza matematyczna II,wyk,AiR,NW
Wydział Budowy Maszyn i Informatyki,dr Bartosz Micherda,Analiza matematyczna II,ćw,AiR,NW
Wydział Budowy Maszyn i Informatyki,dr Bartosz Micherda,Analiza matematyczna II,wyk,AiR,S
Wydział Budowy Maszyn i Informatyki,dr Bartosz Micherda,Statystyka i probabilistyka,wyk,MiBM,S
Wydział Budowy Maszyn i Informatyki,dr Bartosz Micherda,Statystyka i probabilistyka,ćw,MiBM,S
Wydział Budowy Maszyn i Informatyki,dr Bartosz Micherda,Matematyka,wyk,Mt,S
Wydział Budowy Maszyn i Informatyki,dr Bartosz Micherda,Matematyka,ćw,Mt,S
Wydział Budowy Maszyn i Informatyki,dr Jacek Mrowiec,Algorytmy i struktury danych,wyk,Inf,S
