Wydział,Katedra,Koordynator,Przedmiot,Typ
Jednostki Międzywydziałowe,S1 Studium Języków Obcych,Broda Urszula,Jo(d)II - Język obcy (drugi) II,lektorat
Jednostki Międzywydziałowe,S1 Studium Języków Obcych,Broda Urszula,JoI - Język obcy II,lektorat
Jednostki Międzywydziałowe,S1 Studium Języków Obcych,Broda Urszula,Ljo(n/w) - Lektorat języka obcego (jęz. niemiecki / włoski),lektorat
Jednostki Międzywydziałowe,S1 Studium Języków Obcych,Bury Beata,"Ja - Język angielski, 3h przez 10 tyg.",lektorat
Jednostki Międzywydziałowe,S1 Studium Języków Obcych,Bury Beata,JaI - Język angielski I,lektorat
Jednostki Międzywydziałowe,S1 Studium Języków Obcych,Bury Beata,JaII - Język angielski II,lektorat
Jednostki Międzywydziałowe,S1 Studium Języków Obcych,Bury Beata,Jo - Język obcy,lektorat
Jednostki Międzywydziałowe,S1 Studium Języków Obcych,Bury Beata,JoII - Język obcy II,lektorat
Jednostki Międzywydziałowe,S1 Studium Języków Obcych,Bury Beata,Konsultacje (L) - Konsultacje (L),nieznany
Jednostki Międzywydziałowe,S1 Studium Języków Obcych,Bury Beata,Ljo(n/w) - Lektorat języka obcego (jęz. niemiecki / włoski),lektorat
Jednostki Międzywydziałowe,S1 Studium Języków Obcych,Byrska-Cebrat Aleksandra,Jo - Język obcy,lektorat
Jednostki Międzywydziałowe,S1 Studium Języków Obcych,Byrska-Cebrat Aleksandra,Jo1 - Język obcy 1,lektorat
Jednostki Międzywydziałowe,S1 Studium Języków Obcych,Byrska-Cebrat Aleksandra,Jo3 - Język obcy 3,lektorat
Jednostki Międzywydziałowe,S1 Studium Języków Obcych,Byrska-Cebrat Aleksandra,JoII - Język obcy II,lektorat
Jednostki Międzywydziałowe,S1 Studium Języków Obcych,Ciudziński Jerzy,"Ja - Język angielski, 3h przez 10 tyg.",lektorat
Jednostki Międzywydziałowe,S1 Studium Języków Obcych,Ciudziński Jerzy,Jo - Język obcy,lektorat
Jednostki Międzywydziałowe,S1 Studium Języków Obcych,Ciudziński Jerzy,Jo3 - Język obcy 3,lektorat
Jednostki Międzywydziałowe,S1 Studium Języków Obcych,Ciudziński Jerzy,JoII - Język obcy II,lektorat
Jednostki Międzywydziałowe,S1 Studium Języków Obcych,Ciudziński Jerzy,JoIV - Język obcy IV,lektorat
Jednostki Międzywydziałowe,S1 Studium Języków Obcych,Galas-Jędruch Sabina,Jo(d)II - Język obcy (drugi) II,lektorat
Jednostki Międzywydziałowe,S1 Studium Języków Obcych,Galas-Jędruch Sabina,JoI - Język obcy II,lektorat
Jednostki Międzywydziałowe,S1 Studium Języków Obcych,Galas-Jędruch Sabina,JoII - Język obcy II,lektorat
Jednostki Międzywydziałowe,S1 Studium Języków Obcych,Galas-Jędruch Sabina,JoIV - Język obcy IV,lektorat
Jednostki Międzywydziałowe,S1 Studium Języków Obcych,Galas-Jędruch Sabina,Ljo(n/w) - Lektorat języka obcego (jęz. niemiecki / włoski),lektorat
Jednostki Międzywydziałowe,S1 Studium Języków Obcych,Gawlik Agnieszka,Jłzeka - Język łaciński z elem. kultury antycznej,lektorat
Jednostki Międzywydziałowe,S1 Studium Języków Obcych,Góralczyk-Rajewska Beata,Ja/JaIII - Język angielski / Język angielski III,lektorat
Jednostki Międzywydziałowe,S1 Studium Języków Obcych,Góralczyk-Rajewska Beata,JaI - Język angielski I,lektorat
Jednostki Międzywydziałowe,S1 Studium Języków Obcych,Góralczyk-Rajewska Beata,JaII - Język angielski II,lektorat
Jednostki Międzywydziałowe,S1 Studium Języków Obcych,Góralczyk-Rajewska Beata,JaIV - Język angielski IV,lektorat
Jednostki Międzywydziałowe,S1 Studium Języków Obcych,Góralczyk-Rajewska Beata,Jo - Język obcy,lektorat
Jednostki Międzywydziałowe,S1 Studium Języków Obcych,Góralczyk-Rajewska Beata,Jo/Jo3 - Język obcy / Język obcy 3,lektorat
Jednostki Międzywydziałowe,S1 Studium Języków Obcych,Góralczyk-Rajewska Beata,Konsultacje (L) - Konsultacje (L),nieznany
Jednostki Międzywydziałowe,S1 Studium Języków Obcych,Górny Ewa,Jo - Język obcy,lektorat
Jednostki Międzywydziałowe,S1 Studium Języków Obcych,Górny Ewa,JoI - Język obcy II,lektorat
Jednostki Międzywydziałowe,S1 Studium Języków Obcych,Górny Ewa,JoII - Język obcy II,lektorat
Jednostki Międzywydziałowe,S1 Studium Języków Obcych,Górny Ewa,JoIV - Język obcy IV,lektorat
Jednostki Międzywydziałowe,S1 Studium Języków Obcych,Gradowska Agnieszka,Ja/JaIII - Język angielski / Język angielski III,lektorat
Jednostki Międzywydziałowe,S1 Studium Języków Obcych,Gradowska Agnieszka,Ja/Jae - Język angielski / Język angielski ekonomiczny,lektorat
Jednostki Międzywydziałowe,S1 Studium Języków Obcych,Gradowska Agnieszka,Jo - Język obcy,lektorat
Jednostki Międzywydziałowe,S1 Studium Języków Obcych,Gradowska Agnieszka,Jo1 - Język obcy 1,lektorat
Jednostki Międzywydziałowe,S1 Studium Języków Obcych,Gradowska Agnieszka,UTW - lektorat 3.02-26.05.2025 - UTW - lektorat 3.02-26.05.2025,lektorat
Jednostki Międzywydziałowe,S1 Studium Języków Obcych,Koczur Agnieszka,Ja/JaIII - Język angielski / Język angielski III,lektorat
Jednostki Międzywydziałowe,S1 Studium Języków Obcych,Koczur Agnieszka,Ja/Jae - Język angielski / Język angielski ekonomiczny,lektorat
Jednostki Międzywydziałowe,S1 Studium Języków Obcych,Koczur Agnieszka,JaIV - Język angielski IV,lektorat
Jednostki Międzywydziałowe,S1 Studium Języków Obcych,Kordos Bożena,"Ja</strong> (Piątek 12:30-14:45) - Język angielski, 3h przez 10 tyg., występowanie: (L) Stacjonarne<br><strong>Ja</strong> (Sobota 11:30-13:45) - Język angielski, 3h przez 10 zjazdów, występowanie: (L) NZ WNoZ_10zj<br><strong>Ja/Jae - Język angielski / Język angielski ekonomiczny",nieznany
Jednostki Międzywydziałowe,S1 Studium Języków Obcych,Kordos Bożena,UTW - lektorat 06.02-29.05.2025 - UTW - lektorat 06.02-29.05.2025,lektorat
